STIS Model Line Spread Function vs Aperture at 150 nm
Rel pixel    0.1x0.03  0.2x0.06   0.2x0.2     6x0.2
  8.589        0.0002    0.0002    0.0004    0.0004
  8.690        0.0002    0.0002    0.0003    0.0004
  8.791        0.0002    0.0002    0.0003    0.0003
  8.892        0.0001    0.0001    0.0003    0.0003
  8.993        0.0001    0.0001    0.0002    0.0003
  9.094        0.0001    0.0001    0.0002    0.0002
  9.195        0.0001    0.0001    0.0002    0.0002
  9.296        0.0001    0.0001    0.0002    0.0002
  9.397        0.0001    0.0001    0.0001    0.0002
  
