STIS Model Line Spread Function vs Aperture at 120 nm (Modified for linetools)
Rel pixel    0.1x0.03  0.2x0.09   0.2x0.2     6x0.2
  4.725        0.0095    0.0098    0.0107    0.0109
  4.802        0.0090    0.0093    0.0102    0.0103
  4.880        0.0085    0.0088    0.0097    0.0098
  4.957        0.0080    0.0083    0.0092    0.0093
  5.035        0.0075    0.0078    0.0087    0.0088
  5.112        0.0071    0.0074    0.0082    0.0084
  5.190        0.0067    0.0069    0.0078    0.0079
  5.267        0.0063    0.0065    0.0073    0.0075
  5.345        0.0059    0.0061    0.0069    0.0071
  5.422        0.0055    0.0058    0.0065    0.0067
  5.500        0.0052    0.0054    0.0062    0.0063
  5.577        0.0048    0.0051    0.0058    0.0059
  5.655        0.0045    0.0048    0.0055    0.0056
  5.732        0.0042    0.0044    0.0051    0.0053
  5.809        0.0040    0.0042    0.0048    0.0050
  5.887        0.0037    0.0039    0.0045    0.0047
  5.964        0.0034    0.0036    0.0042    0.0044
  6.042        0.0032    0.0034    0.0040    0.0041
  6.119        0.0030    0.0032    0.0037    0.0038
  6.197        0.0028    0.0029    0.0035    0.0036
  6.274        0.0026    0.0027    0.0033    0.0034
  6.352        0.0024    0.0025    0.0030    0.0032
  6.429        0.0022    0.0024    0.0028    0.0029
  6.507        0.0020    0.0022    0.0026    0.0027
  6.584        0.0019    0.0020    0.0025    0.0026
  6.661        0.0017    0.0019    0.0023    0.0024
  6.739        0.0016    0.0017    0.0021    0.0022
  6.816        0.0015    0.0016    0.0020    0.0021
  6.894        0.0014    0.0015    0.0018    0.0019
  6.971        0.0013    0.0014    0.0017    0.0018
  7.049        0.0012    0.0013    0.0016    0.0017
  7.126        0.0011    0.0012    0.0015    0.0015
  7.204        0.0010    0.0011    0.0014    0.0014
  7.281        0.0009    0.0010    0.0013    0.0013
  7.359        0.0008    0.0009    0.0012    0.0012
  7.436        0.0008    0.0008    0.0011    0.0011
  7.514        0.0007    0.0008    0.0010    0.0010
  7.591        0.0006    0.0007    0.0009    0.0010
  7.668        0.0006    0.0006    0.0008    0.0009
  7.746        0.0005    0.0006    0.0008    0.0008
  7.823        0.0005    0.0005    0.0007    0.0007
  7.901        0.0004    0.0005    0.0006    0.0007
  7.978        0.0004    0.0004    0.0006    0.0006
  8.056        0.0004    0.0004    0.0005    0.0006
  8.133        0.0003    0.0004    0.0005    0.0005
  8.211        0.0003    0.0003    0.0005    0.0005
  8.288        0.0003    0.0003    0.0004    0.0004
  8.366        0.0002    0.0003    0.0004    0.0004
  8.443        0.0002    0.0002    0.0003    0.0004
  8.521        0.0002    0.0002    0.0003    0.0003
  8.598        0.0002    0.0002    0.0003    0.0003
  8.675        0.0002    0.0002    0.0003    0.0003
  8.753        0.0001    0.0002    0.0002    0.0003
  8.830        0.0001    0.0002    0.0002    0.0002
  8.908        0.0001    0.0001    0.0002    0.0002
  8.985        0.0001    0.0001    0.0002    0.0002
  9.063        0.0001    0.0001    0.0002    0.0002
  9.140        0.0001    0.0001    0.0001    0.0002
  9.218        0.0001    0.0001    0.0001    0.0001
  9.295        0.0001    0.0001    0.0001    0.0001
  
