STIS Model Line Spread Function vs Aperture at 320 nm
Rel_pixel      52x0.1    52x0.2    52x0.5    52x2.0
  0.218        0.9303    0.8490    0.7721    0.7138
  0.291        0.8784    0.8034    0.7307    0.6755
  0.364        0.8161    0.7490    0.6813    0.6298
  0.437        0.7466    0.6886    0.6263    0.5790
  0.510        0.6728    0.6248    0.5683    0.5254
  0.582        0.5975    0.5603    0.5096    0.4711
  0.655        0.5232    0.4972    0.4523    0.4181
  0.728        0.4519    0.4372    0.3977    0.3677
  0.801        0.3852    0.3816    0.3471    0.3209
  0.874        0.3239    0.3309    0.3011    0.2783
  0.946        0.2688    0.2855    0.2599    0.2403
  1.019        0.2201    0.2453    0.2235    0.2067
  1.092        0.1777    0.2102    0.1918    0.1773
  1.165        0.1413    0.1796    0.1643    0.1519
  1.238        0.1106    0.1532    0.1408    0.1302
  1.310        0.0852    0.1305    0.1207    0.1116
  1.383        0.0645    0.1109    0.1038    0.0960
  1.456        0.0479    0.0942    0.0897    0.0829
  1.529        0.0349    0.0799    0.0780    0.0721
  1.602        0.0249    0.0676    0.0684    0.0632
  1.674        0.0174    0.0571    0.0607    0.0561
  1.747        0.0119    0.0481    0.0547    0.0505
  1.820        0.0079    0.0404    0.0500    0.0462
  1.893        0.0052    0.0337    0.0464    0.0429
  1.966        0.0033    0.0280    0.0436    0.0403
  2.038        0.0020    0.0230    0.0416    0.0385
  2.111        0.0012    0.0187    0.0401    0.0370
  2.184        0.0007    0.0151    0.0389    0.0360
  2.257        0.0004    0.0119    0.0379    0.0351
  2.330        0.0002    0.0093    0.0371    0.0343
  2.402        0.0001    0.0071    0.0363    0.0336
  2.475        0.0001    0.0054    0.0355    0.0328
  2.548        0.0000    0.0040    0.0347    0.0321
  2.621        0.0000    0.0029    0.0338    0.0313
  2.694        0.0000    0.0020    0.0329    0.0304
  2.766        0.0000    0.0014    0.0320    0.0296
  2.839        0.0000    0.0009    0.0310    0.0286
  2.912        0.0000    0.0006    0.0300    0.0277
